Player,Team,Opponent,Game Time,SZN ERA
Brandon Pfaadt,ARI,DIAMONDBACKS,Sun 1:05pm,3.9
Corbin Burnes,ARI,DIAMONDBACKS,Sun 1:05pm,3.3
Zac Gallen,ARI,DIAMONDBACKS,Sun 1:05pm,3.5
JP Sears,OAK,ATHELTICS,Sun 1:05pm,4.35
Chris Sale,ATL,BRAVES,Sun 1:05pm,3.05
Garrett Crochet,BOS,RED SOX,Sun 1:05pm,3.05
Tanner Houck,BOS,RED SOX,Sun 1:05pm,3.7
Justin Steele,CHC,CUBS,Sun 1:05pm,3.35
Shota Imanaga,CHC,CUBS,Sun 1:05pm,3.4
Hunter Greene,CIN,REDS,Sun 1:05pm,3.6
Tanner Bibee,CLE,GUARDIANS,Sun 1:05pm,3.55
Reese Olson,DET,TIGERS,Sun 1:05pm,3.85
Tarik Skubal,DET,TIGERS,Sun 1:05pm,2.8
Framber Valdez,HOU,ASTROS,Sun 1:05pm,3.3
Hunter Brown,HOU,ASTROS,Sun 1:05pm,3.65
Cole Ragans,KC,ROYALS,Sun 1:05pm,3.45
Tyler Glasnow,LAD,DODGERS,Sun 1:05pm,3.35
Yoshinobu Yamamoto,LAD,DODGERS,Sun 1:05pm,3.15
Freddy Peralta,MIL,BREWERS,Sun 1:05pm,3.75
Bailey Ober,MIN,TWINS,Sun 1:05pm,3.75
Pablo Lopez,MIN,TWINS,Sun 1:05pm,3.55
Sean Manaea,NYM,METS,Sun 1:05pm,3.85
Carlos Rodon,NYY,YANKEES,Sun 1:05pm,3.75
Max Fried,NYY,YANKEES,Sun 1:05pm,3.35
Aaron Nola,PHI,PHILLIES,Sun 1:05pm,3.75
Ranger Suarez,PHI,PHILLIES,Sun 1:05pm,3.55
Zack Wheeler,PHI,PHILLIES,Sun 1:05pm,3.2
Paul Skenes,PIT,PIRATES,Sun 1:05pm,2.95
Dylan Cease,SD,PADRES,Sun 1:05pm,3.4
Michael King,SD,PADRES,Sun 1:05pm,3.3
Logan Webb,SFG,GIANTS,Sun 1:05pm,3.25
George Kirby,SEA,MARINERS,Sun 1:05pm,3.45
Logan Gilbert,SEA,MARINERS,Sun 1:05pm,3.3
Sonny Gray,STL,CARDINALS,Sun 1:05pm,3.4
Taj Bradley,TB,RAYS,Sun 1:05pm,3.9
Jacob deGrom,TEX,RANGERS,Sun 1:05pm,3.0
Nathan Eovaldi,TEX,RANGERS,Sun 1:05pm,3.85
Kevin Gausman,TOR,BLUE JAYS,Sun 1:05pm,3.65
MacKenzie Gore,WSH,NATIONALS,Sun 1:05pm,3.85
